site,year,month_year,date,patch,plot,subplot,PIUV_less5cmDBH_total,PIUV_less130cm_total,PIUV_5to130_total,PIUV_less5cm,PIUV_greatequal5cm,PIUV_5to30cm,PIUV_31to130cm,PIUV_great130cm,soil_to40cm,soil2,nst_height_m,nst_dist_m,nst_dir,stpres_5m,stmh_5m,cnt_stmh_5m,stpres_10m,stmh_10m,cnt_stmh_10m,stpres_20m,stmh_20m,cnt_stmh_20m,light_cond,par_time,par0.3,par1.3,dwt1,dwt2,dwt3,dwt_eqgreat0,pool_pres,pool,bare_ground,litter,wood,trunk,Dicran,Sphagnum,om,cush_spp,sub_dom,NMDS_axis1,NMDS_axis2,NMDS_axis3,OS_less30cm,OS_31to130,OS_great130cm,OS_total,Plot_PIUVcnt,logpar0.3_resid,logpar1.3_resid,logparratio_resid,subNMDS_a1,subNMDS_a2,subNMDS_a3,us_emshr,us_shrubs,us_trees
RMB,2017,17-Jan,1/30/2017,Forest,F04,F0401,65,64,15,49,16,10,5,1,Peat,Peat,NA,NA,NA,1,6 to 10,3 to 5,1,11 to 15,3 to 5,1,16 to 20,1 to 2,OC,12:59:00,36,64,33,23,57,0,0,0,0,20,1,55,1,0,100,0,Other moss-trunk,0.7558,-0.2412,-0.4881,7,4,1,12,12,0.108906192,-0.058284605,-0.183102137,-0.8218,0.21214,0.06125,17.0,11.0,16.5
RMB,2017,17-Jan,1/30/2017,Forest,F04,F0402,18,18,0,18,0,0,0,0,Mucky Peat,Mucky Peat,NA,NA,NA,1,6 to 10,3 to 5,1,11 to 15,3 to 5,1,16 to 20,3 to 5,OC,14:27:00,9,43,55,60,76,0,1,1,1,5,1,95,1,1,95,0,Other moss-trunk,0.6594,0.2484,0.1028,3,1,2,6,12,-0.508846701,-0.249124818,0.246246336,-0.8292,0.33853,-0.09722,27.0,16.5,41
RMB,2017,17-Jan,1/30/2017,Forest,F04,F0403,7,7,3,4,3,3,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,1 to 2,1,11 to 15,1 to 2,1,16 to 20,1 to 2,OC,15:08:00,49,285,4,18,33,0,1,1,1,5,1,85,1,5,95,0,Other moss-trunk,0.6176,-0.7117,-0.2146,2,1,1,4,12,0.257854461,0.602480442,0.33166917,-0.7612,0.33254,-0.074,52.5,26.5,6.5
RMB,2017,17-Jan,1/30/2017,Forest,F04,F0404,98,98,70,40,58,58,12,0,Mucky Peat,Mucky Peat,NA,NA,NA,1,6 to 10,3 to 5,1,11 to 15,1 to 2,1,16 to 20,1 to 2,OC,16:10:00,24,25,46,16,52,0,0,0,0,5,1,80,10,1,100,0,Other moss-trunk,0.6782,0.1963,-0.2744,8,5,4,17,12,0.022962311,-0.377898049,-0.415250843,-0.8582,0.28436,-0.07121,18.0,11.5,22
RMB,2017,17-Feb,2/2/2017,Forest,F05,F0501,9,9,2,7,2,2,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,3 to 5,1,6 to 10,1 to 2,1,11 to 15,1 to 2,"OC, PS",12:04:00,14,41,77,49,23,0,1,15,10,20,1,55,5,1,75,0,Other moss-trunk,0.7043,0.1653,0.0452,2,0,3,5,17,-0.171969269,-0.032630325,0.038901844,-0.6314,0.08913,-0.19601,36.5,16.0,37
RMB,2017,17-Feb,2/2/2017,Forest,F05,F0502,70,68,13,45,25,13,0,2,Mucky Peat,Mucky Peat,NA,NA,NA,1,6 to 10,3 to 5,1,6 to 10,1 to 2,1,11 to 15,1 to 2,"OC, PS",13:42:00,12,22,7,11,31,0,1,5,1,10,0,60,5,0,80,0,Other moss-trunk,0.7122,0.2282,0.0297,1,1,2,4,17,-0.315672912,-0.386371001,-0.164512542,-0.7477,0.15483,-0.09976,26.5,15.5,41
RMB,2017,17-Feb,2/2/2017,Forest,F05,F0503,11,11,1,10,1,1,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,3 to 5,1,11 to 15,1 to 2,1,11 to 15,1 to 2,"OC, PS",14:31:00,27,38,23,31,109,0,0,0,0,20,1,90,1,1,100,0,Other moss-trunk,0.6234,0.2913,0.3126,1,3,11,15,17,0.067257198,-0.11878123,-0.279334144,-0.8255,0.34887,0.01589,37.0,21.5,71.5
RMB,2017,17-Feb,2/2/2017,Forest,F05,F0504,18,15,3,12,6,1,2,3,Muck,Muck,NA,NA,NA,1,6 to 10,3 to 5,1,11 to 15,1 to 2,1,11 to 15,1 to 2,"OC, PS",15:27:00,22,33,70,33,27,0,1,1,0,15,1,60,5,0,100,0,Other moss-trunk,1.0294,-0.2221,-0.2821,4,1,3,8,17,-0.021683885,-0.180050886,-0.251662718,-0.8108,0.20859,0.02931,32.0,21.0,7
RMB,2017,17-Feb,2/10/2017,Forest,F06,F0601,12,12,0,12,0,0,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,1 to 2,1,6 to 10,1 to 2,1,11 to 15,1 to 2,"OC, PS",12:04:00,80,458,20,53,83,0,0,0,0,20,1,90,10,0,90,0,Other moss-trunk,1.0091,-0.1391,-0.141,3,13,7,23,21,0.261380505,0.630691916,0.324255283,-0.8081,0.38,0.00385,51.5,35.0,21
RMB,2017,17-Feb,2/10/2017,Forest,F06,F0602,41,41,2,39,2,2,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,1 to 2,1,6 to 10,1 to 2,1,11 to 15,1 to 2,"OC, PS",13:44:00,284,227,48,44,34,0,0,0,0,15,1,45,5,0,95,0,Other moss-trunk,0.7924,0.2153,0.1692,1,5,5,11,21,0.734852004,0.242472795,-0.530812691,-0.8101,0.15621,0.0901,57.0,36.5,41.5
